,Year,Entity,battery_electric_number,plugin_hybrid_number,full_mild_hybrid_number,petrol_number,diesel_gas_number,co2_per_km
175,2012,Netherlands,3829.0,0.0,22517.0,332934.0,143261.0,120.3029546
176,2012,Portugal,82.0,0.0,979.0,27012.0,67236.0,120.4118249
177,2012,Spain,484.0,0.0,9987.0,206867.0,482251.0,130.3922799
178,2012,Sweden,408.0,0.0,3441.0,82544.0,193502.0,139.2301984
179,2012,United Kingdom,1784.0,0.0,25370.0,973633.0,1039199.0,134.227259
180,2013,Austria,839.0,0.0,2410.0,134815.0,180971.0,132.0565674
181,2013,Belgium,751.0046352,0.0,5678.035045,164359.0144,315276.9459,124.1909549
182,2013,Denmark,538.0,0.0,1087.0,122047.0,57598.0,113.0591582
183,2013,Finland,219.0,0.0,2260.0,62094.0,38920.0,131.6621064
184,2013,France,9159.0,0.0,46310.0,532810.0,1167972.0,117.7149386
185,2013,Germany,7363.187057,0.0,24440.6209,1516550.527,1403902.665,135.3842414
186,2013,Greece,3.000051113,0.0,389.0066277,24344.41477,33957.57855,112.421504
187,2013,Ireland,47.05948326,0.0,590.7467047,19941.20571,53787.9881,122.1302226
188,2013,Italy,1145.00178,0.0,13966.02171,576497.8961,695107.0804,120.6854856
189,2013,Luxembourg,188.0,0.0,329.0,11868.0,34239.0,133.2031419
190,2013,Netherlands,22631.0,0.0,23682.0,267106.0,103605.0,109.3608542
192,2013,Portugal,210.0,0.0,1063.0,28060.0,76588.0,113.6814225
193,2013,Spain,839.0,0.0,10203.0,224724.0,486937.0,123.7354216
194,2013,Sweden,1509.0,0.0,5101.0,94473.0,168469.0,135.3039886
196,2013,United Kingdom,3586.0,0.0,29126.0,1104185.0,1127840.0,128.6607349
197,2014,Austria,1404.0,314.0,1918.0,127285.0,172397.0,128.4700211
198,2014,Belgium,1361.002818,617.0012776,7495.01552,174234.3608,299231.6196,121.2151532
199,2014,Denmark,1646.0,4.0,1214.0,126841.0,59363.0,111.0338802
200,2014,Finland,201.0,245.0,2331.0,61708.0,41796.0,127.3332957
201,2014,France,10980.0,1340.0,41104.0,591847.0,1119957.0,114.8043716
202,2014,Germany,9583.003156,3483.001147,22413.00738,1547962.51,1453187.479,131.5071158
203,2014,Greece,54.0,9.0,425.0,25361.0,45367.0,109.9712064
204,2014,Ireland,227.3823377,29.0488449,1006.692728,24354.95224,70725.92385,118.7901496
205,2014,Italy,1237.000902,271.0001977,20981.0153,591041.4311,757421.5525,118.2341456
206,2014,Luxembourg,363.0,60.0,409.0,13115.0,35846.0,129.4180998
207,2014,Netherlands,3380.061008,11856.214,14499.2617,252976.5661,105112.8972,107.9843627
209,2014,Portugal,204.0,85.0,1927.0,38639.0,101971.0,109.6249568
210,2014,Spain,1076.0,294.0,12043.0,276358.0,565537.0,119.7510954
211,2014,Sweden,1394.018346,3284.043219,6977.09182,110900.4595,181390.3871,131.7022048
214,2014,United Kingdom,8067.0,6550.0,37188.0,1184054.0,1240576.0,124.8603547
215,2015,Austria,1756.0,1031.0,2040.0,123528.0,180200.0,123.2772514
216,2015,Belgium,1625.0,1429.0,7675.0,190013.0,300324.0,117.477162
217,2015,Denmark,4478.0,263.0,2252.0,136184.0,64212.0,107.8453897
218,2015,Finland,244.0,416.0,2851.0,66352.0,38986.0,124.117749
219,2015,France,17771.0,4604.0,41718.0,737645.0,1083830.0,111.1105197
220,2015,Germany,12428.0,11142.0,17846.0,1621389.0,1543114.0,127.2171798
221,2015,Greece,32.0,43.0,864.0,27069.0,47797.0,106.0857812
222,2015,Ireland,466.0,97.0,1518.0,34078.0,88786.0,114.1102453
223,2015,Italy,1461.0,894.0,25223.0,675769.0,880269.0,115.8686053
224,2015,Luxembourg,73.0,113.0,379.0,12998.0,32910.0,127.4191022
225,2015,Netherlands,3532.0,40329.0,15034.0,261104.0,132389.0,101.8555318
227,2015,Portugal,620.0,546.0,2957.0,52721.0,121659.0,105.917287
228,2015,Spain,1342.0,876.0,18390.0,363317.0,650307.0,116.2927345
229,2015,Sweden,2979.0,5694.0,8620.0,127104.0,200709.0,127.3366735
232,2015,United Kingdom,10054.0,18395.0,44181.0,1283755.0,1277118.0,121.3842634
233,2016,Austria,3379.0,1689.0,3269.0,132346.0,188921.0,119.8568799
234,2016,Belgium,2000.0,7293.0,9196.0,241605.0,279425.0,115.8115183
235,2016,Denmark,1173.0,716.0,5762.0,135377.0,80114.0,109.8732437
236,2016,Finland,213.0,1875.0,4018.0,73446.0,39487.0,121.0267081
237,2016,France,21553.0,7689.0,46918.0,876159.0,1031410.0,110.185629
238,2016,Germany,11457.08204,13762.09855,32756.23457,1752504.55,1540989.035,125.3741058
239,2016,Greece,20.0,78.0,1472.0,34323.0,42980.0,106.7223366
241,2016,Ireland,392.2461572,300.1883856,2569.612581,40850.63614,102487.3167,112.2147967
242,2016,Italy,1373.0,1371.0,36346.0,749022.0,1056068.0,113.1701109
243,2016,Luxembourg,145.0,201.0,573.0,16873.0,32769.0,125.7017842
244,2016,Netherlands,3781.0,18947.0,11012.0,277675.0,73283.0,108.2781237
246,2016,Portugal,711.0,1134.0,3203.0,67116.0,135166.0,104.6540033
247,2016,Spain,1887.0,1690.0,30867.0,460926.0,651637.0,114.645895
248,2016,Sweden,2890.023287,10440.08412,13431.10822,148648.1978,196908.5866,123.9464411
251,2016,United Kingdom,10276.0,28694.0,49872.0,1317705.0,1286239.0,119.8453904
252,2017,Austria,5433.0,1676.0,5674.0,165070.0,175467.0,119.8978968
253,2017,Belgium,2541.0,11876.0,12333.0,266486.0,253322.0,115.8106842
254,2017,Denmark,712.0,612.0,7188.0,135614.0,78024.0,108.2354557
255,2017,Finland,486.0,2507.0,8455.0,71116.0,36086.0,119.3814027
256,2017,France,24967.13011,11868.06185,64005.33354,1011050.269,998972.2058,110.6289129
257,2017,Germany,25138.67209,29488.7884,47709.27553,2001939.523,1336845.741,126.2480381
258,2017,Greece,37.0,159.0,2342.0,46527.0,39014.0,108.8806829
260,2017,Ireland,622.2226759,309.1106219,4441.589519,40367.44636,85591.63082,111.975971
261,2017,Italy,1961.037701,2845.054696,59054.13531,794731.2786,1118009.494,112.5808198
262,2017,Luxembourg,386.0,676.0,797.0,22439.0,28477.0,126.0680857
263,2017,Netherlands,7539.0,1636.0,17677.0,317262.0,73951.0,109.4839214
265,2017,Portugal,1640.0,2420.0,4692.0,77114.0,136241.0,104.2265555
266,2017,Spain,3624.0,3575.0,55037.0,576173.0,596522.0,114.3682286
267,2017,Sweden,4231.301126,15816.12558,18665.32834,150539.7134,190140.5316,122.0614155
270,2017,United Kingdom,13576.0,35030.0,68304.0,1358521.0,1065186.0,120.9384434
271,2018,Austria,6764.0,2250.0,5961.0,185820.0,140273.0,120.7593606
272,2018,Belgium,3648.0,9064.0,14519.0,327133.0,195268.0,118.6179771
273,2018,Denmark,1551.0,3073.0,9232.0,132652.0,72606.0,109.4999245
274,2018,Finland,775.0,4807.0,11000.0,74987.0,28988.0,117.2625072
275,2018,France,31095.01431,13380.00616,84154.03872,1198925.552,846023.3892,111.3729646
276,2018,Germany,36150.86247,29916.54128,81139.18024,2175797.096,1112597.32,127.6430847
277,2018,Greece,73.0,228.0,3588.0,62658.0,36884.0,111.8767881
278,2018,Ireland,1233.432242,679.2380311,7037.466199,48370.95104,68235.91249,112.8260523
279,2018,Italy,4990.002603,4632.002417,73622.03841,848400.4426,985060.5139,114.2532877
280,2018,Luxembourg,432.0081368,646.0121676,974.0183455,26019.49007,25021.47128,130.3489679
281,2018,Netherlands,23843.0,3286.0,21239.0,338086.0,57076.0,106.7039954
283,2018,Portugal,4073.0,3734.0,7256.0,90173.0,123091.0,104.8170722
284,2018,Spain,5984.0,5380.0,74640.0,762555.0,472879.0,118.3681763
285,2018,Sweden,7096.364207,21620.15626,21710.17357,168323.3585,134973.9474,121.8292362
288,2018,United Kingdom,14944.0,40410.0,93409.0,1472695.0,745689.0,126.6003523
289,2019,Austria,8889.0,2144.0,12493.0,175405.0,130432.0,121.8353321
290,2019,Belgium,8837.0,8465.0,19375.0,340232.0,173094.0,119.4582106
291,2019,Denmark,5526.0,3882.0,13284.0,143199.0,60788.0,107.0854129
293,2019,Finland,1897.0,5869.0,14206.0,70316.0,21958.0,112.1598791
294,2019,France,42829.0,18442.0,95273.0,1283191.0,768825.0,111.8351428
295,2019,Germany,63460.99377,44639.8093,155461.7836,2120699.413,1222769.0,130.1603501
296,2019,Greece,188.0115319,458.0280937,5659.347123,77075.61325,30744.0,114.5265149
297,2019,Ireland,3444.971077,1287.736792,10622.07753,47394.2146,54351.0,109.6682282
298,2019,Italy,10681.0222,6489.01349,94981.19745,1022634.767,789372.0,118.7528439
299,2019,Luxembourg,986.0,880.0,1961.0,27398.0,24102.0,129.8055917
300,2019,Netherlands,62056.0,5315.0,27707.0,317265.0,33771.0,98.74799167
302,2019,Portugal,6883.0,5798.0,10039.0,110787.0,90292.0,103.6627705
303,2019,Spain,10406.0,7696.0,102528.0,793164.0,449539.0,120.5097701
304,2019,Sweden,15601.36894,24745.27394,35250.90941,159991.852,120472.5957,114.1367745
307,2019,United Kingdom,37850.0,34758.0,155276.0,1467637.0,615619.0,127.4799297
